Country,YearsCodePro,YearsCodeProCount
El Salvador,3-5 years,17.0
El Salvador,6-8 years,13.0
El Salvador,9-11 years,8.0
El Salvador,> 20 years,2.0
Estonia,0-2 years,36.0
Estonia,12-14 years,15.0
Estonia,15-17 years,10.0
Estonia,18-20 years,9.0
Estonia,3-5 years,53.0
Estonia,6-8 years,28.0
Estonia,9-11 years,22.0
Estonia,> 20 years,4.0
Ethiopia,0-2 years,19.0
Ethiopia,3-5 years,11.0
Ethiopia,6-8 years,5.0
Ethiopia,9-11 years,1.0
Fiji,0-2 years,2.0
Fiji,3-5 years,1.0
Fiji,6-8 years,1.0
Fiji,> 20 years,1.0
Finland,0-2 years,93.0
Finland,12-14 years,33.0
Finland,15-17 years,31.0
Finland,18-20 years,33.0
Finland,3-5 years,121.0
Finland,6-8 years,71.0
Finland,9-11 years,61.0
Finland,> 20 years,40.0
France,0-2 years,464.0
France,12-14 years,131.0
France,15-17 years,89.0
France,18-20 years,96.0
France,3-5 years,619.0
France,6-8 years,264.0
France,9-11 years,234.0
France,> 20 years,119.0
Gabon,0-2 years,1.0
Gabon,> 20 years,1.0
Georgia,0-2 years,21.0
Georgia,12-14 years,1.0
Georgia,18-20 years,2.0
Georgia,3-5 years,21.0
Georgia,6-8 years,9.0
Georgia,9-11 years,10.0
Georgia,> 20 years,1.0
Germany,0-2 years,866.0
Germany,12-14 years,314.0
Germany,15-17 years,271.0
Germany,18-20 years,273.0
Germany,3-5 years,1365.0
Germany,6-8 years,868.0
Germany,9-11 years,654.0
Germany,> 20 years,298.0
Ghana,0-2 years,22.0
Ghana,12-14 years,1.0
Ghana,3-5 years,18.0
Ghana,6-8 years,10.0
Ghana,9-11 years,5.0
Greece,0-2 years,111.0
Greece,12-14 years,23.0
Greece,15-17 years,24.0
Greece,18-20 years,22.0
Greece,3-5 years,115.0
Greece,6-8 years,57.0
Greece,9-11 years,41.0
Greece,> 20 years,18.0
Guatemala,0-2 years,8.0
Guatemala,12-14 years,4.0
Guatemala,15-17 years,2.0
Guatemala,18-20 years,3.0
Guatemala,3-5 years,19.0
Guatemala,6-8 years,12.0
Guatemala,9-11 years,8.0
Guatemala,> 20 years,4.0
Guinea,3-5 years,1.0
Guinea,> 20 years,1.0
Guyana,3-5 years,1.0
Guyana,6-8 years,1.0
Haiti,0-2 years,3.0
Haiti,3-5 years,1.0
Honduras,0-2 years,3.0
Honduras,12-14 years,2.0
Honduras,15-17 years,2.0
Honduras,3-5 years,8.0
Honduras,6-8 years,6.0
Hong Kong (S.A.R.),0-2 years,34.0
Hong Kong (S.A.R.),12-14 years,12.0
Hong Kong (S.A.R.),15-17 years,6.0
Hong Kong (S.A.R.),18-20 years,8.0
Hong Kong (S.A.R.),3-5 years,46.0
Hong Kong (S.A.R.),6-8 years,25.0
Hong Kong (S.A.R.),9-11 years,14.0
Hong Kong (S.A.R.),> 20 years,7.0
Hungary,0-2 years,94.0
Hungary,12-14 years,26.0
Hungary,15-17 years,24.0
Hungary,18-20 years,28.0
Hungary,3-5 years,126.0
Hungary,6-8 years,70.0
Hungary,9-11 years,48.0
Hungary,> 20 years,18.0
