Country,YearsCodePro,YearsCodeProCount
Brazil,18-20 years,10.0
Brazil,3-5 years,233.0
Brazil,6-8 years,83.0
Brazil,9-11 years,104.0
Brazil,> 20 years,30.0
Brunei Darussalam,3-5 years,1.0
Bulgaria,0-2 years,53.0
Bulgaria,12-14 years,4.0
Bulgaria,15-17 years,19.0
Bulgaria,18-20 years,2.0
Bulgaria,3-5 years,92.0
Bulgaria,6-8 years,27.0
Bulgaria,9-11 years,22.0
Bulgaria,> 20 years,2.0
Burkina Faso,3-5 years,1.0
Burundi,> 20 years,1.0
Cambodia,0-2 years,6.0
Cambodia,12-14 years,1.0
Cambodia,15-17 years,1.0
Cambodia,3-5 years,3.0
Cambodia,6-8 years,2.0
Cameroon,0-2 years,5.0
Cameroon,6-8 years,1.0
Canada,0-2 years,330.0
Canada,12-14 years,86.0
Canada,15-17 years,120.0
Canada,18-20 years,52.0
Canada,3-5 years,584.0
Canada,6-8 years,202.0
Canada,9-11 years,215.0
Canada,> 20 years,188.0
Cape Verde,3-5 years,1.0
Cayman Islands,3-5 years,2.0
Chile,0-2 years,20.0
Chile,12-14 years,3.0
Chile,15-17 years,2.0
Chile,3-5 years,32.0
Chile,6-8 years,11.0
Chile,9-11 years,8.0
Chile,> 20 years,8.0
China,0-2 years,42.0
China,12-14 years,4.0
China,15-17 years,5.0
China,3-5 years,74.0
China,6-8 years,28.0
China,9-11 years,22.0
China,> 20 years,2.0
Colombia,0-2 years,30.0
Colombia,12-14 years,8.0
Colombia,15-17 years,4.0
Colombia,18-20 years,2.0
Colombia,3-5 years,57.0
Colombia,6-8 years,21.0
Colombia,9-11 years,12.0
Colombia,> 20 years,3.0
Costa Rica,0-2 years,11.0
Costa Rica,3-5 years,12.0
Costa Rica,6-8 years,7.0
Costa Rica,9-11 years,8.0
Costa Rica,> 20 years,3.0
Croatia,0-2 years,43.0
Croatia,12-14 years,7.0
Croatia,15-17 years,3.0
Croatia,18-20 years,3.0
Croatia,3-5 years,55.0
Croatia,6-8 years,18.0
Croatia,9-11 years,8.0
Croatia,> 20 years,9.0
Cuba,0-2 years,3.0
Cuba,12-14 years,1.0
Cuba,18-20 years,1.0
Cuba,3-5 years,16.0
Cuba,6-8 years,3.0
Cuba,9-11 years,4.0
Cyprus,0-2 years,3.0
Cyprus,12-14 years,1.0
Cyprus,15-17 years,2.0
Cyprus,3-5 years,11.0
Cyprus,6-8 years,4.0
Cyprus,9-11 years,3.0
Cyprus,> 20 years,3.0
Czech Republic,0-2 years,70.0
Czech Republic,12-14 years,22.0
Czech Republic,15-17 years,14.0
Czech Republic,18-20 years,7.0
Czech Republic,3-5 years,126.0
Czech Republic,6-8 years,42.0
Czech Republic,9-11 years,41.0
Czech Republic,> 20 years,14.0
Denmark,0-2 years,37.0
Denmark,12-14 years,20.0
Denmark,15-17 years,16.0
Denmark,18-20 years,10.0
Denmark,3-5 years,76.0
Denmark,6-8 years,24.0
Denmark,9-11 years,34.0
Denmark,> 20 years,27.0
Dominican Republic,0-2 years,11.0
Dominican Republic,12-14 years,1.0
Dominican Republic,18-20 years,1.0
Dominican Republic,3-5 years,25.0
Dominican Republic,6-8 years,7.0
Dominican Republic,9-11 years,1.0
Dominican Republic,> 20 years,3.0
Ecuador,0-2 years,6.0
Ecuador,18-20 years,1.0
Ecuador,3-5 years,12.0
Ecuador,6-8 years,2.0
Ecuador,9-11 years,2.0
Egypt,0-2 years,34.0
Egypt,12-14 years,3.0
Egypt,15-17 years,1.0
Egypt,18-20 years,1.0
Egypt,3-5 years,39.0
Egypt,6-8 years,10.0
Egypt,9-11 years,7.0
Egypt,> 20 years,1.0
El Salvador,0-2 years,6.0
El Salvador,3-5 years,10.0
El Salvador,6-8 years,1.0
El Salvador,9-11 years,3.0
Eritrea,3-5 years,2.0
Estonia,0-2 years,15.0
Estonia,12-14 years,6.0
Estonia,15-17 years,4.0
Estonia,18-20 years,2.0
Estonia,3-5 years,21.0
Estonia,6-8 years,6.0
Estonia,9-11 years,13.0
Estonia,> 20 years,6.0
Ethiopia,0-2 years,9.0
Ethiopia,15-17 years,1.0
Ethiopia,3-5 years,7.0
Ethiopia,6-8 years,3.0
Falkland Islands,0-2 years,1.0
Fiji,6-8 years,1.0
Fiji,> 20 years,1.0
Finland,0-2 years,43.0
Finland,12-14 years,10.0
Finland,15-17 years,22.0
Finland,18-20 years,5.0
Finland,3-5 years,78.0
Finland,6-8 years,29.0
Finland,9-11 years,36.0
Finland,> 20 years,16.0
France,0-2 years,287.0
France,12-14 years,71.0
France,15-17 years,65.0
France,18-20 years,37.0
France,3-5 years,505.0
France,6-8 years,152.0
France,9-11 years,152.0
France,> 20 years,86.0
French Guyana,3-5 years,1.0
Gabon,0-2 years,1.0
Georgia,0-2 years,5.0
Georgia,15-17 years,1.0
Georgia,18-20 years,1.0
Georgia,3-5 years,18.0
Georgia,6-8 years,6.0
Georgia,9-11 years,2.0
Germany,0-2 years,463.0
Germany,12-14 years,181.0
Germany,15-17 years,188.0
Germany,18-20 years,64.0
Germany,3-5 years,1232.0
Germany,6-8 years,467.0
Germany,9-11 years,414.0
Germany,> 20 years,229.0
Ghana,0-2 years,13.0
Ghana,3-5 years,16.0
Ghana,6-8 years,8.0
Ghana,> 20 years,1.0
Gibraltar,6-8 years,1.0
Greece,0-2 years,40.0
Greece,12-14 years,14.0
Greece,15-17 years,17.0
Greece,18-20 years,3.0
Greece,3-5 years,75.0
Greece,6-8 years,31.0
Greece,9-11 years,30.0
Greece,> 20 years,16.0
Guam,6-8 years,1.0
Guatemala,0-2 years,9.0
Guatemala,12-14 years,2.0
Guatemala,3-5 years,14.0
Guatemala,6-8 years,6.0
Guatemala,9-11 years,3.0
Guatemala,> 20 years,1.0
Guinea,6-8 years,1.0
Guyana,0-2 years,1.0
Guyana,> 20 years,1.0
Haiti,0-2 years,1.0
Haiti,3-5 years,1.0
Haiti,9-11 years,1.0
Honduras,0-2 years,2.0
Honduras,3-5 years,5.0
Honduras,6-8 years,2.0
Hong Kong,0-2 years,29.0
Hong Kong,12-14 years,9.0
Hong Kong,15-17 years,3.0
Hong Kong,3-5 years,37.0
Hong Kong,6-8 years,9.0
Hong Kong,9-11 years,6.0
Hong Kong,> 20 years,2.0
Hungary,0-2 years,46.0
Hungary,12-14 years,14.0
Hungary,15-17 years,18.0
Hungary,18-20 years,5.0
Hungary,3-5 years,105.0
Hungary,6-8 years,35.0
Hungary,9-11 years,26.0
Hungary,> 20 years,15.0
I prefer not to say,0-2 years,19.0
I prefer not to say,12-14 years,2.0
I prefer not to say,15-17 years,2.0
I prefer not to say,3-5 years,22.0
I prefer not to say,6-8 years,8.0
I prefer not to say,9-11 years,5.0
I prefer not to say,> 20 years,7.0
Iceland,0-2 years,4.0
Iceland,12-14 years,2.0
Iceland,3-5 years,11.0
Iceland,6-8 years,2.0
Iceland,9-11 years,3.0
India,0-2 years,1462.0
India,12-14 years,58.0
India,15-17 years,27.0
India,18-20 years,12.0
India,3-5 years,1782.0
India,6-8 years,288.0
India,9-11 years,167.0
India,> 20 years,12.0
Indonesia,0-2 years,64.0
Indonesia,12-14 years,9.0
Indonesia,15-17 years,3.0
Indonesia,18-20 years,2.0
Indonesia,3-5 years,89.0
Indonesia,6-8 years,21.0
Indonesia,9-11 years,14.0
Indonesia,> 20 years,1.0
Iran,0-2 years,82.0
Iran,12-14 years,19.0
Iran,15-17 years,7.0
Iran,18-20 years,3.0
Iran,3-5 years,185.0
Iran,6-8 years,54.0
Iran,9-11 years,34.0
Iran,> 20 years,2.0
Iraq,0-2 years,3.0
Iraq,3-5 years,4.0
Ireland,0-2 years,52.0
Ireland,12-14 years,16.0
Ireland,15-17 years,21.0
Ireland,18-20 years,13.0
Ireland,3-5 years,90.0
Ireland,6-8 years,37.0
Ireland,9-11 years,37.0
Ireland,> 20 years,29.0
Israel,0-2 years,71.0
Israel,12-14 years,29.0
Israel,15-17 years,27.0
Israel,18-20 years,6.0
Israel,3-5 years,188.0
Israel,6-8 years,71.0
Israel,9-11 years,72.0
Israel,> 20 years,32.0
Italy,0-2 years,104.0
Italy,12-14 years,46.0
Italy,15-17 years,35.0
Italy,18-20 years,22.0
Italy,3-5 years,196.0
Italy,6-8 years,79.0
Italy,9-11 years,83.0
Italy,> 20 years,51.0
Ivory Coast (Cote D'Ivoire),3-5 years,2.0
Jamaica,0-2 years,2.0
Jamaica,15-17 years,1.0
Jamaica,18-20 years,1.0
Jamaica,3-5 years,7.0
Japan,0-2 years,42.0
Japan,12-14 years,12.0
Japan,15-17 years,11.0
Japan,18-20 years,6.0
Japan,3-5 years,72.0
Japan,6-8 years,22.0
Japan,9-11 years,23.0
Japan,> 20 years,14.0
Jordan,0-2 years,7.0
Jordan,12-14 years,1.0
Jordan,15-17 years,2.0
Jordan,3-5 years,17.0
Jordan,6-8 years,5.0
Jordan,9-11 years,4.0
Kazakhstan,0-2 years,4.0
Kazakhstan,15-17 years,1.0
Kazakhstan,3-5 years,10.0
Kazakhstan,6-8 years,8.0
Kazakhstan,9-11 years,1.0
Kazakhstan,> 20 years,1.0
Kenya,0-2 years,31.0
Kenya,12-14 years,1.0
Kenya,15-17 years,1.0
Kenya,3-5 years,22.0
Kenya,6-8 years,2.0
Kenya,9-11 years,1.0
Kenya,> 20 years,1.0
Kuwait,0-2 years,1.0
Kuwait,15-17 years,2.0
Kuwait,3-5 years,2.0
Kuwait,6-8 years,1.0
Kuwait,9-11 years,4.0
Kyrgyzstan,0-2 years,2.0
Kyrgyzstan,12-14 years,1.0
Kyrgyzstan,3-5 years,4.0
Kyrgyzstan,6-8 years,1.0
Laos,6-8 years,1.0
Latvia,0-2 years,8.0
Latvia,12-14 years,6.0
Latvia,15-17 years,3.0
Latvia,3-5 years,35.0
Latvia,6-8 years,17.0
Latvia,9-11 years,17.0
Latvia,> 20 years,2.0
Lebanon,0-2 years,13.0
Lebanon,15-17 years,2.0
Lebanon,3-5 years,18.0
Lebanon,6-8 years,5.0
Lebanon,9-11 years,3.0
Lebanon,> 20 years,1.0
Lesotho,3-5 years,1.0
Libya,15-17 years,1.0
Liechtenstein,0-2 years,1.0
Liechtenstein,12-14 years,1.0
Liechtenstein,3-5 years,2.0
Liechtenstein,9-11 years,1.0
Liechtenstein,> 20 years,1.0
Lithuania,0-2 years,37.0
Lithuania,15-17 years,5.0
Lithuania,3-5 years,61.0
Lithuania,6-8 years,18.0
Lithuania,9-11 years,20.0
Lithuania,> 20 years,2.0
Luxembourg,0-2 years,3.0
Luxembourg,12-14 years,2.0
Luxembourg,15-17 years,1.0
Luxembourg,3-5 years,12.0
Luxembourg,6-8 years,4.0
Luxembourg,9-11 years,1.0
Luxembourg,> 20 years,1.0
Macau,12-14 years,1.0
Macedonia,0-2 years,10.0
Macedonia,15-17 years,2.0
Macedonia,18-20 years,1.0
Macedonia,3-5 years,20.0
Macedonia,6-8 years,7.0
Macedonia,9-11 years,6.0
Macedonia,> 20 years,1.0
Madagascar,3-5 years,2.0
Madagascar,6-8 years,4.0
Malawi,0-2 years,1.0
Malaysia,0-2 years,45.0
Malaysia,12-14 years,5.0
Malaysia,15-17 years,3.0
Malaysia,3-5 years,53.0
Malaysia,6-8 years,20.0
Malaysia,9-11 years,10.0
Mali,0-2 years,1.0
Malta,0-2 years,5.0
Malta,12-14 years,3.0
Malta,15-17 years,3.0
Malta,18-20 years,1.0
Malta,3-5 years,21.0
Malta,6-8 years,3.0
Malta,9-11 years,2.0
Martinique (French),3-5 years,2.0
Mauritius,0-2 years,2.0
Mauritius,12-14 years,1.0
Mauritius,3-5 years,5.0
Mauritius,6-8 years,2.0
Mauritius,9-11 years,1.0
Mexico,0-2 years,67.0
Mexico,12-14 years,10.0
Mexico,15-17 years,9.0
Mexico,18-20 years,3.0
Mexico,3-5 years,121.0
Mexico,6-8 years,43.0
Mexico,9-11 years,31.0
Mexico,> 20 years,11.0
Moldavia,0-2 years,15.0
Moldavia,12-14 years,1.0
Moldavia,15-17 years,1.0
Moldavia,3-5 years,28.0
Moldavia,6-8 years,7.0
Moldavia,9-11 years,3.0
Moldavia,> 20 years,1.0
Mongolia,0-2 years,7.0
Mongolia,3-5 years,7.0
Mongolia,6-8 years,1.0
Mongolia,9-11 years,4.0
Montenegro,15-17 years,1.0
Montenegro,3-5 years,4.0
Montenegro,6-8 years,2.0
Montenegro,9-11 years,2.0
Montenegro,> 20 years,1.0
Morocco,0-2 years,15.0
Morocco,3-5 years,19.0
Morocco,6-8 years,2.0
Morocco,9-11 years,1.0
Morocco,> 20 years,1.0
Mozambique,0-2 years,2.0
Mozambique,3-5 years,4.0
Myanmar,0-2 years,13.0
Myanmar,3-5 years,15.0
Myanmar,6-8 years,2.0
Myanmar,9-11 years,1.0
Namibia,15-17 years,1.0
Namibia,3-5 years,3.0
Nepal,0-2 years,31.0
Nepal,3-5 years,41.0
Nepal,6-8 years,5.0
Nepal,9-11 years,2.0
Netherlands,0-2 years,109.0
Netherlands,12-14 years,40.0
Netherlands,15-17 years,38.0
Netherlands,18-20 years,19.0
Netherlands,3-5 years,203.0
Netherlands,6-8 years,84.0
Netherlands,9-11 years,98.0
Netherlands,> 20 years,63.0
Netherlands Antilles,3-5 years,1.0
Netherlands Antilles,6-8 years,1.0
New Caledonia (French),0-2 years,1.0
New Caledonia (French),3-5 years,2.0
New Caledonia (French),9-11 years,2.0
New Zealand,0-2 years,38.0
New Zealand,12-14 years,6.0
New Zealand,15-17 years,18.0
New Zealand,18-20 years,9.0
New Zealand,3-5 years,66.0
New Zealand,6-8 years,16.0
New Zealand,9-11 years,25.0
New Zealand,> 20 years,29.0
Nicaragua,0-2 years,1.0
Nicaragua,12-14 years,1.0
Nicaragua,18-20 years,1.0
Nicaragua,3-5 years,3.0
Nicaragua,6-8 years,2.0
Nicaragua,9-11 years,1.0
Nicaragua,> 20 years,1.0
Niger,0-2 years,2.0
Nigeria,0-2 years,33.0
Nigeria,12-14 years,3.0
Nigeria,15-17 years,1.0
Nigeria,3-5 years,66.0
Nigeria,6-8 years,14.0
Nigeria,9-11 years,1.0
Nigeria,> 20 years,1.0
North Korea,15-17 years,1.0
North Korea,3-5 years,1.0
North Korea,6-8 years,1.0
Northern Mariana Islands,18-20 years,1.0
Norway,0-2 years,37.0
Norway,12-14 years,19.0
Norway,15-17 years,13.0
Norway,18-20 years,7.0
Norway,3-5 years,72.0
Norway,6-8 years,20.0
Norway,9-11 years,22.0
Norway,> 20 years,17.0
Oman,12-14 years,1.0
Oman,3-5 years,1.0
Pakistan,0-2 years,91.0
Pakistan,12-14 years,6.0
Pakistan,15-17 years,2.0
Pakistan,18-20 years,1.0
Pakistan,3-5 years,183.0
Pakistan,6-8 years,26.0
Pakistan,9-11 years,18.0
Pakistan,> 20 years,1.0
Panama,0-2 years,3.0
Panama,12-14 years,1.0
Panama,15-17 years,1.0
Panama,18-20 years,1.0
Panama,3-5 years,6.0
Panama,6-8 years,2.0
Panama,9-11 years,2.0
Panama,> 20 years,2.0
Paraguay,0-2 years,2.0
Paraguay,12-14 years,4.0
Paraguay,3-5 years,9.0
Paraguay,6-8 years,2.0
Paraguay,9-11 years,3.0
Peru,0-2 years,9.0
Peru,12-14 years,1.0
Peru,3-5 years,27.0
Peru,6-8 years,12.0
Peru,9-11 years,6.0
Peru,> 20 years,1.0
Philippines,0-2 years,75.0
Philippines,12-14 years,5.0
Philippines,15-17 years,2.0
Philippines,18-20 years,2.0
Philippines,3-5 years,95.0
Philippines,6-8 years,28.0
Philippines,9-11 years,20.0
Philippines,> 20 years,4.0
Pitcairn Island,0-2 years,1.0
Poland,0-2 years,244.0
Poland,12-14 years,40.0
Poland,15-17 years,25.0
Poland,18-20 years,7.0
Poland,3-5 years,466.0
Poland,6-8 years,161.0
Poland,9-11 years,108.0
Poland,> 20 years,11.0
Polynesia (French),9-11 years,1.0
Portugal,0-2 years,42.0
Portugal,12-14 years,7.0
Portugal,15-17 years,11.0
Portugal,18-20 years,3.0
Portugal,3-5 years,84.0
Portugal,6-8 years,21.0
Portugal,9-11 years,28.0
Portugal,> 20 years,10.0
Puerto Rico,0-2 years,6.0
Puerto Rico,18-20 years,2.0
Puerto Rico,3-5 years,6.0
Puerto Rico,9-11 years,1.0
Puerto Rico,> 20 years,1.0
Qatar,0-2 years,2.0
Qatar,3-5 years,4.0
Qatar,9-11 years,2.0
Reunion (French),0-2 years,3.0
Romania,0-2 years,99.0
Romania,12-14 years,19.0
Romania,15-17 years,15.0
Romania,18-20 years,6.0
Romania,3-5 years,207.0
Romania,6-8 years,57.0
Romania,9-11 years,47.0
Romania,> 20 years,11.0
Russian Federation,0-2 years,116.0
Russian Federation,12-14 years,45.0
Russian Federation,15-17 years,39.0
Russian Federation,18-20 years,6.0
Russian Federation,3-5 years,283.0
Russian Federation,6-8 years,122.0
Russian Federation,9-11 years,101.0
Russian Federation,> 20 years,19.0
Rwanda,0-2 years,2.0
Rwanda,3-5 years,3.0
S. Georgia & S. Sandwich Isls.,9-11 years,1.0
Saint Lucia,0-2 years,1.0
Saint Vincent & Grenadines,3-5 years,1.0
Saint Vincent & Grenadines,> 20 years,1.0
Saudi Arabia,0-2 years,11.0
Saudi Arabia,12-14 years,3.0
Saudi Arabia,3-5 years,14.0
Saudi Arabia,6-8 years,2.0
Saudi Arabia,9-11 years,2.0
Senegal,0-2 years,1.0
Senegal,3-5 years,1.0
Serbia,0-2 years,41.0
Serbia,12-14 years,5.0
Serbia,15-17 years,7.0
Serbia,18-20 years,1.0
Serbia,3-5 years,81.0
Serbia,6-8 years,25.0
Serbia,9-11 years,27.0
Serbia,> 20 years,4.0
Seychelles,3-5 years,1.0
Singapore,0-2 years,24.0
Singapore,12-14 years,4.0
Singapore,15-17 years,1.0
Singapore,3-5 years,57.0
Singapore,6-8 years,19.0
Singapore,9-11 years,16.0
Singapore,> 20 years,2.0
Slovak Republic,0-2 years,33.0
Slovak Republic,12-14 years,5.0
Slovak Republic,15-17 years,4.0
Slovak Republic,18-20 years,5.0
Slovak Republic,3-5 years,47.0
Slovak Republic,6-8 years,15.0
Slovak Republic,9-11 years,12.0
Slovak Republic,> 20 years,3.0
Slovenia,0-2 years,44.0
Slovenia,12-14 years,13.0
Slovenia,15-17 years,11.0
Slovenia,18-20 years,5.0
Slovenia,3-5 years,79.0
Slovenia,6-8 years,40.0
Slovenia,9-11 years,30.0
Slovenia,> 20 years,15.0
Somalia,0-2 years,1.0
Somalia,12-14 years,1.0
South Africa,0-2 years,63.0
South Africa,12-14 years,19.0
South Africa,15-17 years,21.0
South Africa,18-20 years,9.0
South Africa,3-5 years,118.0
South Africa,6-8 years,46.0
South Africa,9-11 years,45.0
South Africa,> 20 years,21.0
South Korea,0-2 years,21.0
South Korea,12-14 years,12.0
South Korea,15-17 years,8.0
South Korea,18-20 years,1.0
South Korea,3-5 years,42.0
South Korea,6-8 years,6.0
South Korea,9-11 years,14.0
South Korea,> 20 years,5.0
Spain,0-2 years,138.0
Spain,12-14 years,52.0
Spain,15-17 years,45.0
Spain,18-20 years,8.0
Spain,3-5 years,270.0
Spain,6-8 years,98.0
Spain,9-11 years,114.0
Spain,> 20 years,35.0
Sri Lanka,0-2 years,33.0
Sri Lanka,12-14 years,2.0
Sri Lanka,15-17 years,2.0
Sri Lanka,3-5 years,73.0
Sri Lanka,6-8 years,9.0
Sri Lanka,9-11 years,6.0
Sri Lanka,> 20 years,3.0
Sudan,0-2 years,1.0
Sudan,15-17 years,1.0
Sudan,3-5 years,5.0
Sudan,9-11 years,1.0
Suriname,3-5 years,1.0
Suriname,9-11 years,1.0
Swaziland,0-2 years,2.0
Swaziland,18-20 years,1.0
Sweden,0-2 years,91.0
Sweden,12-14 years,36.0
Sweden,15-17 years,43.0
Sweden,18-20 years,10.0
Sweden,3-5 years,146.0
Sweden,6-8 years,74.0
Sweden,9-11 years,64.0
Sweden,> 20 years,52.0
Switzerland,0-2 years,46.0
Switzerland,12-14 years,27.0
Switzerland,15-17 years,34.0
Switzerland,18-20 years,10.0
Switzerland,3-5 years,170.0
Switzerland,6-8 years,65.0
Switzerland,9-11 years,77.0
Switzerland,> 20 years,29.0
Syria,0-2 years,2.0
Syria,3-5 years,4.0
Syria,6-8 years,2.0
Syria,9-11 years,1.0
Tadjikistan,9-11 years,1.0
Taiwan,0-2 years,24.0
Taiwan,12-14 years,2.0
Taiwan,15-17 years,1.0
Taiwan,18-20 years,1.0
Taiwan,3-5 years,27.0
Taiwan,6-8 years,7.0
Taiwan,9-11 years,4.0
Taiwan,> 20 years,1.0
Tanzania,0-2 years,3.0
Tanzania,3-5 years,9.0
Tanzania,9-11 years,1.0
Thailand,0-2 years,14.0
Thailand,12-14 years,6.0
Thailand,15-17 years,1.0
Thailand,18-20 years,1.0
Thailand,3-5 years,30.0
Thailand,6-8 years,11.0
Thailand,9-11 years,21.0
Thailand,> 20 years,3.0
Togo,0-2 years,1.0
Togo,15-17 years,1.0
Togo,3-5 years,1.0
Trinidad and Tobago,0-2 years,1.0
Trinidad and Tobago,15-17 years,4.0
Trinidad and Tobago,3-5 years,4.0
Trinidad and Tobago,6-8 years,1.0
Trinidad and Tobago,9-11 years,1.0
Tunisia,0-2 years,12.0
Tunisia,12-14 years,1.0
Tunisia,3-5 years,19.0
Tunisia,6-8 years,5.0
Turkey,0-2 years,53.0
Turkey,12-14 years,14.0
Turkey,15-17 years,15.0
Turkey,18-20 years,1.0
Turkey,3-5 years,119.0
Turkey,6-8 years,36.0
Turkey,9-11 years,36.0
Turkey,> 20 years,6.0
Turkmenistan,0-2 years,1.0
U.S. Minor Outlying Islands,0-2 years,1.0
U.S. Minor Outlying Islands,9-11 years,1.0
Uganda,0-2 years,7.0
Uganda,3-5 years,15.0
Uganda,9-11 years,2.0
Ukraine,0-2 years,75.0
Ukraine,12-14 years,15.0
Ukraine,15-17 years,10.0
Ukraine,3-5 years,107.0
Ukraine,6-8 years,41.0
Ukraine,9-11 years,41.0
Ukraine,> 20 years,11.0
United Arab Emirates,0-2 years,13.0
United Arab Emirates,12-14 years,2.0
United Arab Emirates,15-17 years,2.0
United Arab Emirates,18-20 years,3.0
United Arab Emirates,3-5 years,36.0
United Arab Emirates,6-8 years,14.0
United Arab Emirates,9-11 years,9.0
United Arab Emirates,> 20 years,2.0
United Kingdom,0-2 years,616.0
United Kingdom,12-14 years,239.0
United Kingdom,15-17 years,234.0
United Kingdom,18-20 years,92.0
United Kingdom,3-5 years,1195.0
United Kingdom,6-8 years,450.0
United Kingdom,9-11 years,452.0
United Kingdom,> 20 years,401.0
United States,0-2 years,1525.0
United States,12-14 years,583.0
United States,15-17 years,622.0
United States,18-20 years,293.0
United States,3-5 years,3079.0
United States,6-8 years,1034.0
United States,9-11 years,997.0
United States,> 20 years,1289.0
Uruguay,0-2 years,9.0
Uruguay,12-14 years,5.0
Uruguay,15-17 years,3.0
Uruguay,18-20 years,1.0
Uruguay,3-5 years,25.0
Uruguay,6-8 years,10.0
Uruguay,9-11 years,9.0
Uzbekistan,0-2 years,7.0
Uzbekistan,3-5 years,9.0
Uzbekistan,6-8 years,1.0
Uzbekistan,9-11 years,2.0
Venezuela,0-2 years,11.0
Venezuela,12-14 years,1.0
Venezuela,18-20 years,2.0
Venezuela,3-5 years,20.0
Venezuela,6-8 years,5.0
Venezuela,9-11 years,5.0
Venezuela,> 20 years,3.0
Vietnam,0-2 years,27.0
Vietnam,15-17 years,2.0
Vietnam,3-5 years,41.0
Vietnam,6-8 years,7.0
Vietnam,9-11 years,6.0
Vietnam,> 20 years,3.0
Virgin Islands (British),3-5 years,1.0
Virgin Islands (USA),0-2 years,1.0
Virgin Islands (USA),3-5 years,2.0
Virgin Islands (USA),6-8 years,1.0
Virgin Islands (USA),> 20 years,1.0
Yemen,3-5 years,1.0
Yemen,6-8 years,1.0
Zaire,3-5 years,2.0
Zambia,0-2 years,5.0
Zambia,12-14 years,1.0
Zambia,3-5 years,3.0
Zimbabwe,0-2 years,7.0
Zimbabwe,3-5 years,5.0
