Country,LanguageWorkedWith,LanguageWorkedWithCount
"Congo, Republic of the...",C,3.0
"Congo, Republic of the...",C#,3.0
"Congo, Republic of the...",C++,2.0
"Congo, Republic of the...",Dart,2.0
"Congo, Republic of the...",HTML/CSS,6.0
"Congo, Republic of the...",Java,6.0
"Congo, Republic of the...",JavaScript,8.0
"Congo, Republic of the...",Kotlin,1.0
"Congo, Republic of the...",Matlab,1.0
"Congo, Republic of the...",Node.js,4.0
"Congo, Republic of the...",PHP,6.0
"Congo, Republic of the...",PowerShell,1.0
"Congo, Republic of the...",Python,3.0
"Congo, Republic of the...",Ruby,1.0
"Congo, Republic of the...",Rust,1.0
"Congo, Republic of the...",SQL,5.0
"Congo, Republic of the...",TypeScript,4.0
"Congo, Republic of the...",VBA,2.0
Costa Rica,APL,1.0
