Country,YearsCodePro,YearsCodeProCount
Honduras,3-5 years,5.0
Honduras,6-8 years,2.0
Honduras,> 20 years,1.0
Hong Kong (S.A.R.),0-2 years,25.0
Hong Kong (S.A.R.),12-14 years,7.0
Hong Kong (S.A.R.),15-17 years,4.0
Hong Kong (S.A.R.),18-20 years,6.0
Hong Kong (S.A.R.),3-5 years,13.0
Hong Kong (S.A.R.),6-8 years,9.0
Hong Kong (S.A.R.),9-11 years,8.0
Hong Kong (S.A.R.),> 20 years,5.0
Hungary,0-2 years,59.0
Hungary,12-14 years,19.0
Hungary,15-17 years,20.0
Hungary,18-20 years,18.0
Hungary,3-5 years,83.0
Hungary,6-8 years,44.0
Hungary,9-11 years,22.0
Hungary,> 20 years,27.0
Iceland,0-2 years,7.0
Iceland,12-14 years,5.0
Iceland,15-17 years,4.0
Iceland,18-20 years,1.0
Iceland,3-5 years,9.0
Iceland,6-8 years,7.0
Iceland,9-11 years,5.0
Iceland,> 20 years,4.0
India,0-2 years,1766.0
India,12-14 years,154.0
India,15-17 years,93.0
India,18-20 years,39.0
India,3-5 years,1849.0
India,6-8 years,850.0
India,9-11 years,385.0
India,> 20 years,40.0
Indonesia,0-2 years,109.0
Indonesia,12-14 years,8.0
Indonesia,15-17 years,12.0
Indonesia,18-20 years,5.0
Indonesia,3-5 years,81.0
Indonesia,6-8 years,28.0
Indonesia,9-11 years,15.0
Indonesia,> 20 years,3.0
Iran,0-2 years,59.0
Iran,12-14 years,20.0
Iran,15-17 years,10.0
Iran,18-20 years,7.0
Iran,3-5 years,149.0
Iran,6-8 years,72.0
Iran,9-11 years,29.0
Iran,> 20 years,2.0
Iraq,0-2 years,6.0
Iraq,15-17 years,1.0
Iraq,3-5 years,8.0
Iraq,6-8 years,2.0
Iraq,9-11 years,3.0
Iraq,> 20 years,2.0
Ireland,0-2 years,65.0
Ireland,12-14 years,27.0
Ireland,15-17 years,24.0
Ireland,18-20 years,21.0
Ireland,3-5 years,90.0
Ireland,6-8 years,60.0
Ireland,9-11 years,38.0
Ireland,> 20 years,31.0
Isle of Man,0-2 years,1.0
Isle of Man,12-14 years,1.0
Isle of Man,15-17 years,1.0
Isle of Man,3-5 years,3.0
Isle of Man,6-8 years,1.0
Israel,0-2 years,92.0
Israel,12-14 years,35.0
Israel,15-17 years,42.0
Israel,18-20 years,26.0
Israel,3-5 years,103.0
Israel,6-8 years,78.0
Israel,9-11 years,71.0
Israel,> 20 years,45.0
Italy,0-2 years,128.0
Italy,12-14 years,67.0
Italy,15-17 years,55.0
Italy,18-20 years,74.0
Italy,3-5 years,182.0
Italy,6-8 years,130.0
Italy,9-11 years,116.0
Italy,> 20 years,98.0
Jamaica,0-2 years,1.0
Jamaica,3-5 years,4.0
Jamaica,6-8 years,2.0
Jamaica,9-11 years,1.0
Japan,0-2 years,50.0
Japan,12-14 years,16.0
Japan,15-17 years,10.0
Japan,18-20 years,17.0
Japan,3-5 years,60.0
Japan,6-8 years,47.0
Japan,9-11 years,26.0
Japan,> 20 years,19.0
Jordan,0-2 years,10.0
Jordan,12-14 years,3.0
Jordan,15-17 years,1.0
Jordan,3-5 years,11.0
Jordan,6-8 years,5.0
Jordan,9-11 years,5.0
Kazakhstan,0-2 years,12.0
Kazakhstan,12-14 years,4.0
Kazakhstan,15-17 years,4.0
Kazakhstan,18-20 years,2.0
Kazakhstan,3-5 years,9.0
Kazakhstan,6-8 years,10.0
Kazakhstan,9-11 years,2.0
Kenya,0-2 years,43.0
Kenya,3-5 years,49.0
Kenya,6-8 years,11.0
Kenya,9-11 years,3.0
Kenya,> 20 years,2.0
Kosovo,0-2 years,4.0
Kosovo,12-14 years,1.0
Kosovo,15-17 years,1.0
Kosovo,18-20 years,1.0
Kosovo,3-5 years,14.0
Kosovo,6-8 years,4.0
Kuwait,0-2 years,1.0
Kuwait,3-5 years,5.0
Kuwait,6-8 years,5.0
Kuwait,9-11 years,1.0
Kyrgyzstan,0-2 years,6.0
Kyrgyzstan,12-14 years,1.0
Kyrgyzstan,3-5 years,6.0
Kyrgyzstan,6-8 years,1.0
Lao People's Democratic Republic,3-5 years,2.0
Lao People's Democratic Republic,9-11 years,2.0
Lao People's Democratic Republic,> 20 years,1.0
Latvia,0-2 years,21.0
Latvia,12-14 years,9.0
Latvia,15-17 years,6.0
Latvia,18-20 years,6.0
Latvia,3-5 years,25.0
Latvia,6-8 years,10.0
Latvia,9-11 years,9.0
Latvia,> 20 years,2.0
Lebanon,0-2 years,17.0
Lebanon,12-14 years,1.0
Lebanon,15-17 years,2.0
Lebanon,3-5 years,16.0
Lebanon,6-8 years,6.0
Lebanon,9-11 years,5.0
Lebanon,> 20 years,1.0
Lesotho,3-5 years,1.0
Libyan Arab Jamahiriya,18-20 years,1.0
Libyan Arab Jamahiriya,3-5 years,1.0
Libyan Arab Jamahiriya,6-8 years,1.0
Liechtenstein,18-20 years,1.0
Lithuania,0-2 years,28.0
Lithuania,12-14 years,9.0
Lithuania,15-17 years,5.0
Lithuania,18-20 years,11.0
Lithuania,3-5 years,45.0
Lithuania,6-8 years,25.0
Lithuania,9-11 years,8.0
Lithuania,> 20 years,3.0
Luxembourg,0-2 years,3.0
Luxembourg,12-14 years,2.0
Luxembourg,15-17 years,5.0
Luxembourg,18-20 years,1.0
Luxembourg,3-5 years,8.0
Luxembourg,6-8 years,4.0
Luxembourg,9-11 years,6.0
Luxembourg,> 20 years,5.0
Madagascar,0-2 years,3.0
Madagascar,3-5 years,7.0
Madagascar,6-8 years,4.0
Madagascar,> 20 years,1.0
Malawi,0-2 years,1.0
Malawi,3-5 years,1.0
Malaysia,0-2 years,48.0
Malaysia,12-14 years,4.0
Malaysia,15-17 years,4.0
Malaysia,18-20 years,4.0
Malaysia,3-5 years,57.0
Malaysia,6-8 years,20.0
Malaysia,9-11 years,11.0
Malaysia,> 20 years,3.0
Maldives,0-2 years,3.0
Maldives,3-5 years,2.0
Maldives,6-8 years,2.0
Malta,0-2 years,5.0
Malta,12-14 years,8.0
Malta,15-17 years,1.0
Malta,18-20 years,1.0
Malta,3-5 years,8.0
Malta,6-8 years,5.0
Malta,9-11 years,8.0
Mauritania,0-2 years,1.0
Mauritania,3-5 years,1.0
Mauritius,0-2 years,5.0
Mauritius,12-14 years,1.0
Mauritius,3-5 years,1.0
Mauritius,6-8 years,2.0
Mauritius,9-11 years,2.0
Mexico,0-2 years,86.0
Mexico,12-14 years,21.0
Mexico,15-17 years,14.0
Mexico,18-20 years,18.0
Mexico,3-5 years,112.0
Mexico,6-8 years,81.0
Mexico,9-11 years,35.0
Mexico,> 20 years,15.0
Monaco,3-5 years,1.0
Mongolia,0-2 years,3.0
Mongolia,15-17 years,1.0
Mongolia,3-5 years,2.0
Mongolia,9-11 years,2.0
Montenegro,0-2 years,1.0
Montenegro,12-14 years,1.0
Montenegro,15-17 years,1.0
Montenegro,18-20 years,1.0
Montenegro,3-5 years,4.0
Montenegro,9-11 years,2.0
Morocco,0-2 years,30.0
Morocco,12-14 years,2.0
Morocco,15-17 years,1.0
Morocco,3-5 years,18.0
Morocco,6-8 years,7.0
Morocco,9-11 years,4.0
Mozambique,0-2 years,1.0
Mozambique,3-5 years,2.0
Myanmar,0-2 years,10.0
Myanmar,3-5 years,10.0
Myanmar,6-8 years,2.0
Myanmar,9-11 years,1.0
Myanmar,> 20 years,2.0
Namibia,6-8 years,2.0
Namibia,9-11 years,1.0
Nepal,0-2 years,61.0
Nepal,12-14 years,3.0
Nepal,18-20 years,1.0
Nepal,3-5 years,47.0
Nepal,6-8 years,13.0
Nepal,9-11 years,7.0
Netherlands,0-2 years,142.0
Netherlands,12-14 years,94.0
Netherlands,15-17 years,66.0
Netherlands,18-20 years,63.0
Netherlands,3-5 years,264.0
Netherlands,6-8 years,170.0
Netherlands,9-11 years,117.0
Netherlands,> 20 years,107.0
New Zealand,0-2 years,42.0
New Zealand,12-14 years,28.0
New Zealand,15-17 years,18.0
New Zealand,18-20 years,20.0
New Zealand,3-5 years,50.0
New Zealand,6-8 years,38.0
New Zealand,9-11 years,23.0
New Zealand,> 20 years,48.0
Nicaragua,0-2 years,5.0
Nicaragua,12-14 years,2.0
Nicaragua,15-17 years,1.0
Nicaragua,18-20 years,2.0
Nicaragua,3-5 years,8.0
Nicaragua,6-8 years,1.0
Nicaragua,9-11 years,6.0
Niger,0-2 years,2.0
Nigeria,0-2 years,82.0
Nigeria,12-14 years,4.0
Nigeria,15-17 years,1.0
Nigeria,18-20 years,1.0
Nigeria,3-5 years,113.0
Nigeria,6-8 years,28.0
Nigeria,9-11 years,8.0
Nigeria,> 20 years,2.0
Nomadic,0-2 years,1.0
Nomadic,12-14 years,2.0
Nomadic,15-17 years,4.0
Nomadic,18-20 years,2.0
Nomadic,3-5 years,5.0
Nomadic,6-8 years,5.0
Nomadic,9-11 years,3.0
Nomadic,> 20 years,3.0
Norway,0-2 years,60.0
Norway,12-14 years,25.0
Norway,15-17 years,23.0
Norway,18-20 years,24.0
Norway,3-5 years,63.0
Norway,6-8 years,42.0
Norway,9-11 years,28.0
Norway,> 20 years,45.0
Oman,0-2 years,3.0
Oman,6-8 years,1.0
Pakistan,0-2 years,194.0
Pakistan,12-14 years,12.0
Pakistan,15-17 years,5.0
Pakistan,18-20 years,3.0
Pakistan,3-5 years,190.0
Pakistan,6-8 years,49.0
Pakistan,9-11 years,28.0
Panama,0-2 years,7.0
Panama,3-5 years,4.0
Panama,6-8 years,1.0
Panama,9-11 years,4.0
Papua New Guinea,9-11 years,1.0
Paraguay,0-2 years,4.0
Paraguay,12-14 years,1.0
Paraguay,3-5 years,4.0
Paraguay,6-8 years,4.0
Paraguay,9-11 years,4.0
Peru,0-2 years,24.0
Peru,12-14 years,1.0
Peru,15-17 years,3.0
Peru,3-5 years,21.0
Peru,6-8 years,11.0
Peru,9-11 years,6.0
Peru,> 20 years,1.0
Philippines,0-2 years,100.0
Philippines,12-14 years,5.0
Philippines,15-17 years,6.0
Philippines,18-20 years,2.0
Philippines,3-5 years,80.0
Philippines,6-8 years,36.0
Philippines,9-11 years,21.0
Philippines,> 20 years,2.0
Poland,0-2 years,230.0
Poland,12-14 years,77.0
Poland,15-17 years,50.0
Poland,18-20 years,18.0
Poland,3-5 years,288.0
Poland,6-8 years,191.0
Poland,9-11 years,113.0
Poland,> 20 years,28.0
Portugal,0-2 years,65.0
Portugal,12-14 years,21.0
Portugal,15-17 years,20.0
Portugal,18-20 years,15.0
Portugal,3-5 years,72.0
Portugal,6-8 years,38.0
Portugal,9-11 years,51.0
Portugal,> 20 years,18.0
Qatar,0-2 years,3.0
Qatar,18-20 years,1.0
Qatar,3-5 years,2.0
Qatar,6-8 years,3.0
Qatar,9-11 years,3.0
Republic of Korea,0-2 years,12.0
Republic of Korea,12-14 years,5.0
Republic of Korea,15-17 years,1.0
Republic of Korea,18-20 years,3.0
Republic of Korea,3-5 years,10.0
Republic of Korea,6-8 years,6.0
Republic of Korea,9-11 years,6.0
Republic of Korea,> 20 years,3.0
Republic of Moldova,0-2 years,8.0
Republic of Moldova,12-14 years,4.0
Republic of Moldova,15-17 years,3.0
Republic of Moldova,18-20 years,1.0
Republic of Moldova,3-5 years,16.0
Republic of Moldova,6-8 years,4.0
Republic of Moldova,9-11 years,2.0
Republic of Moldova,> 20 years,1.0
Romania,0-2 years,100.0
Romania,12-14 years,58.0
Romania,15-17 years,39.0
Romania,18-20 years,18.0
Romania,3-5 years,118.0
Romania,6-8 years,70.0
Romania,9-11 years,61.0
Romania,> 20 years,17.0
Russian Federation,0-2 years,147.0
Russian Federation,12-14 years,64.0
Russian Federation,15-17 years,59.0
Russian Federation,18-20 years,51.0
Russian Federation,3-5 years,220.0
Russian Federation,6-8 years,126.0
Russian Federation,9-11 years,114.0
Russian Federation,> 20 years,40.0
Rwanda,0-2 years,7.0
Rwanda,3-5 years,6.0
Rwanda,9-11 years,1.0
Saint Vincent and the Grenadines,3-5 years,1.0
San Marino,6-8 years,1.0
San Marino,> 20 years,1.0
Saudi Arabia,0-2 years,10.0
Saudi Arabia,12-14 years,3.0
Saudi Arabia,15-17 years,2.0
Saudi Arabia,18-20 years,2.0
Saudi Arabia,3-5 years,12.0
Saudi Arabia,6-8 years,8.0
Saudi Arabia,9-11 years,7.0
Saudi Arabia,> 20 years,1.0
Senegal,0-2 years,6.0
Senegal,3-5 years,3.0
Senegal,9-11 years,1.0
Serbia,0-2 years,41.0
Serbia,12-14 years,13.0
Serbia,15-17 years,11.0
Serbia,18-20 years,15.0
Serbia,3-5 years,57.0
Serbia,6-8 years,43.0
Serbia,9-11 years,21.0
Serbia,> 20 years,6.0
Sierra Leone,3-5 years,1.0
Singapore,0-2 years,35.0
Singapore,12-14 years,10.0
Singapore,15-17 years,6.0
Singapore,18-20 years,6.0
Singapore,3-5 years,39.0
Singapore,6-8 years,41.0
Singapore,9-11 years,23.0
Singapore,> 20 years,4.0
Slovakia,0-2 years,12.0
Slovakia,12-14 years,19.0
Slovakia,15-17 years,15.0
Slovakia,18-20 years,8.0
Slovakia,3-5 years,45.0
Slovakia,6-8 years,20.0
Slovakia,9-11 years,21.0
Slovakia,> 20 years,5.0
Slovenia,0-2 years,18.0
Slovenia,12-14 years,8.0
Slovenia,15-17 years,10.0
Slovenia,18-20 years,11.0
Slovenia,3-5 years,31.0
Slovenia,6-8 years,16.0
Slovenia,9-11 years,14.0
Slovenia,> 20 years,6.0
Somalia,0-2 years,2.0
Somalia,3-5 years,4.0
Somalia,6-8 years,1.0
South Africa,0-2 years,70.0
South Africa,12-14 years,26.0
South Africa,15-17 years,29.0
South Africa,18-20 years,22.0
South Africa,3-5 years,91.0
South Africa,6-8 years,59.0
South Africa,9-11 years,38.0
South Africa,> 20 years,36.0
South Korea,0-2 years,47.0
South Korea,12-14 years,1.0
South Korea,15-17 years,6.0
South Korea,18-20 years,3.0
South Korea,3-5 years,32.0
South Korea,6-8 years,12.0
South Korea,9-11 years,10.0
South Korea,> 20 years,5.0
Spain,0-2 years,181.0
Spain,12-14 years,87.0
Spain,15-17 years,70.0
Spain,18-20 years,56.0
Spain,3-5 years,224.0
Spain,6-8 years,139.0
Spain,9-11 years,108.0
Spain,> 20 years,64.0
Sri Lanka,0-2 years,58.0
Sri Lanka,12-14 years,6.0
Sri Lanka,15-17 years,4.0
Sri Lanka,18-20 years,2.0
Sri Lanka,3-5 years,66.0
Sri Lanka,6-8 years,29.0
Sri Lanka,9-11 years,11.0
Sri Lanka,> 20 years,1.0
Sudan,0-2 years,5.0
Sudan,3-5 years,5.0
Swaziland,12-14 years,1.0
Swaziland,15-17 years,1.0
Swaziland,18-20 years,1.0
Swaziland,3-5 years,2.0
Sweden,0-2 years,120.0
Sweden,12-14 years,68.0
Sweden,15-17 years,52.0
Sweden,18-20 years,39.0
Sweden,3-5 years,136.0
Sweden,6-8 years,101.0
Sweden,9-11 years,98.0
Sweden,> 20 years,83.0
Switzerland,0-2 years,67.0
Switzerland,12-14 years,36.0
Switzerland,15-17 years,46.0
Switzerland,18-20 years,31.0
Switzerland,3-5 years,122.0
Switzerland,6-8 years,82.0
Switzerland,9-11 years,60.0
Switzerland,> 20 years,45.0
Syrian Arab Republic,0-2 years,2.0
Syrian Arab Republic,3-5 years,4.0
Syrian Arab Republic,9-11 years,1.0
Taiwan,0-2 years,32.0
Taiwan,12-14 years,2.0
Taiwan,15-17 years,6.0
Taiwan,18-20 years,5.0
Taiwan,3-5 years,28.0
Taiwan,6-8 years,18.0
Taiwan,9-11 years,12.0
Taiwan,> 20 years,4.0
Tajikistan,0-2 years,1.0
Tajikistan,6-8 years,1.0
Thailand,0-2 years,25.0
Thailand,12-14 years,2.0
Thailand,15-17 years,1.0
Thailand,18-20 years,4.0
Thailand,3-5 years,19.0
Thailand,6-8 years,12.0
Thailand,9-11 years,11.0
Thailand,> 20 years,9.0
The former Yugoslav Republic of Macedonia,0-2 years,5.0
The former Yugoslav Republic of Macedonia,15-17 years,1.0
The former Yugoslav Republic of Macedonia,3-5 years,9.0
The former Yugoslav Republic of Macedonia,6-8 years,5.0
The former Yugoslav Republic of Macedonia,9-11 years,5.0
The former Yugoslav Republic of Macedonia,> 20 years,1.0
Togo,0-2 years,1.0
Togo,12-14 years,2.0
Togo,3-5 years,1.0
Togo,6-8 years,2.0
Trinidad and Tobago,0-2 years,3.0
Trinidad and Tobago,18-20 years,1.0
Trinidad and Tobago,3-5 years,1.0
Trinidad and Tobago,6-8 years,1.0
Trinidad and Tobago,9-11 years,1.0
Tunisia,0-2 years,29.0
Tunisia,12-14 years,2.0
Tunisia,15-17 years,1.0
Tunisia,18-20 years,1.0
Tunisia,3-5 years,20.0
Tunisia,6-8 years,2.0
Tunisia,9-11 years,3.0
Turkey,0-2 years,121.0
Turkey,12-14 years,29.0
Turkey,15-17 years,20.0
Turkey,18-20 years,18.0
Turkey,3-5 years,146.0
Turkey,6-8 years,93.0
Turkey,9-11 years,83.0
Turkey,> 20 years,13.0
Turkmenistan,3-5 years,3.0
Turkmenistan,6-8 years,1.0
Uganda,0-2 years,12.0
Uganda,3-5 years,22.0
Uganda,6-8 years,4.0
Uganda,9-11 years,4.0
